id,t0_prov_type,t1_prov_type,t2_prov_type,t3_prov_type,score_t3_q2,experience score
R_2PClVj6LY26Lbkb,text,graph,text,graph,1,0
R_3PtxsBtXhKCaoq8,text,graph,text,graph,0,1
R_2qw33WYHS47omRA,text,graph,text,graph,1,1
R_BEvJHJLxfqe0D05,graph,text,graph,graph,1,2
R_dhuFQ6bpYdQa9zj,graph,text,graph,text,0,1
R_0CAAIfp6LjNKLEl,graph,text,graph,text,1,0
R_31dB731u8DimB1b,text,graph,text,graph,1,2
R_10wsT1ar2EPU2kl,graph,text,graph,text,2,1
R_1g5QA7oNdzqmWtu,graph,text,graph,text,1,2
R_2EvgHNkSlr4JwcA,graph,text,graph,text,1,1
R_2zexBcwqis5i1SG,text,graph,text,graph,1,1
R_1KehO6ooDPbUB6S,text,graph,text,graph,1,1
